sample,behavior_model,feature_group,feature_set,space,n,n_features,effective_features,neural_distance,rsa_spearman,p_perm_two_sided,n_perm,pair_count,mean_within_neural_distance,mean_between_neural_distance,between_minus_within,roi,window
common_clip_clap_asr_acr_tribe,top_bottom25_category,Combined,CLIP+CLAP+ASR+ACR+TRIBE,pca50,210,1621,50,correlation,0.0874920263886451,0.0099009900990099,100,21945,0.9874522543074086,1.0199870875253652,0.0325348332179565,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Combined,All non-TRIBE baselines,pca50,398,1667,50,correlation,0.0506864003837108,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Combined,All non-TRIBE baselines,pca50,210,1667,50,correlation,0.0825427398085594,0.0099009900990099,100,21945,0.9880141251815652,1.0192222397979755,0.0312081146164103,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Combined,All non-TRIBE baselines + TRIBE,pca50,398,1702,50,correlation,0.0545028895139694,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Combined,All non-TRIBE baselines + TRIBE,pca50,210,1702,50,correlation,0.097253605723381,0.0099009900990099,100,21945,0.9857591519664408,1.0215100874773246,0.0357509355108837,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI,TRIBE ROI dlPFC,standardized,398,7,7,correlation,0.0284032449126243,0.0099009900990099,100,79003,,,,cortical_dlPFC,
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI,TRIBE ROI dlPFC,standardized,210,7,7,correlation,0.0414961464703083,0.0099009900990099,100,21945,0.9573568172754732,1.00182984478875,0.044473027513277,cortical_dlPFC,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI,TRIBE ROI Amygdala,standardized,398,7,7,correlation,0.0172166619449853,0.0099009900990099,100,79003,,,,subcortical_amygdala,
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI,TRIBE ROI Amygdala,standardized,210,7,7,correlation,0.0344647243618965,0.0099009900990099,100,21945,0.9806432046415394,1.019905018532408,0.0392618138908686,subcortical_amygdala,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI,TRIBE ROI vmPFC,standardized,398,7,7,correlation,0.0196019820868968,0.0198019801980198,100,79003,,,,cortical_vmPFC_proxy,
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI,TRIBE ROI vmPFC,standardized,210,7,7,correlation,0.0321764051914215,0.0198019801980198,100,21945,0.9757375466600188,1.0081578842616916,0.0324203376016728,cortical_vmPFC_proxy,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI,TRIBE ROI Hippocampus,standardized,398,7,7,correlation,0.0310942791402339,0.0099009900990099,100,79003,,,,subcortical_hippocampus,
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI,TRIBE ROI Hippocampus,standardized,210,7,7,correlation,0.0682694315910339,0.0099009900990099,100,21945,0.9649285165087128,1.0396456887075394,0.0747171721988265,subcortical_hippocampus,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI,TRIBE ROI Ventral striatum,standardized,398,7,7,correlation,0.0795598402619361,0.0099009900990099,100,79003,,,,subcortical_ventral_striatum_accumbens,
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI,TRIBE ROI Ventral striatum,standardized,210,7,7,correlation,0.1483295708894729,0.0099009900990099,100,21945,0.9043468997648982,1.092366009511525,0.1880191097466268,subcortical_ventral_striatum_accumbens,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE time window,TRIBE window Whole,standardized,398,5,5,correlation,0.0703427419066429,0.0099009900990099,100,79003,,,,,whole
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE time window,TRIBE window Whole,standardized,210,5,5,correlation,0.1775040626525879,0.0099009900990099,100,21945,0.8992131115563952,1.103654565543853,0.2044414539874578,,whole
